Category,Media,Fact,Generated News,Subjective Commentary,Basic Faults,Additional Faults,Predicted Score,Basic Faults Counts,Additional Faults Counts,Generated News Words Count,Correctness,Basic Faults Split,Additional Faults Split,Predicted Results,Predicted Correctness
International Politics,Hong Kong 01,1,"据報導，特朗普支持者从早晨开始集结在國會大厦附近，庞大的人群激动地高喊着口号，不断挑衅警方，试图冲破安全警戒线。

随着时间的推移，情况变得越来越紧张，围堵國會的人群开始使用暴力手段。他们砸毁窗户，攀爬墙壁，甚至还有人试图把國會门压倒。警察和国民警卫队一次次试图将人群驱散，但无效。最终，支持者们闯入國會大厦，控制了部分场所。

这一事件在全球范围内引起强烈反响。各国政治家纷纷谴责这一事件，称它是对美国民主的极大威胁。一些人认为，特朗普煽动支持者占领國會大厦，并试图阻碍2020年的总统选举结果公布，这种行为是对美国政治制度的严重挑战。

在国内，民众对此事也感到极度震惊和愤怒。许多人在社交媒体上谴责这一事件，并呼吁对事件的参与者采取法律行动。甚至连一些特朗普的支持者也对事件表示反感，认为这是极端的行为。

值得一提的是，本次事件不仅引发了国内政治的震荡，还引起了美国人对国内安全的担忧。此事表明，当政府不能有效地控制局势时，社会将很容易陷入混乱和动荡。对于任何国家来说，这都是一个警钟。",Yes,Time Not Mentioned|,,0.2705548703670501,1,0,447,Incorrect,Time Not Mentioned,,Probably Truth,Incorrect
International Politics,Hong Kong 01,1,"這場政變的引爆源頭是敗選的總統特朗普和一些支持他的共和黨人，他們指控選舉舞弊，不惜煽動支持者走上暴力衝突的道路。特朗普在社交媒體上開火狂轟，指責國會議員背叛了他，煽動他的追隨者前往華盛頓，要求議會否決當天認證總統當選的投票結果。

數千名支持特朗普的群眾前往國會山，赤腳、蓋着美國國旗，並發出警告和威脅。一些人攀爬國會大廈，擊碎了窗戶，爬進國會內部。

得知事件後，當時的總統當選人拜登譴責了事件，他否定了比爾·巴爾的選舉舞弊指控。拜登呼籲特朗普停止煽動支持者，誓言這是對美國民主制度的嚴重威脅。

然而，特朗普卻繼續在社交媒體上發聲，直到Twitter暫停了他的帳戶，才終於讓他停止煽動。特朗普被指控犯有暴動罪，現在正面臨彈劾和遭受剝奪總統職務的可能性。

美國國會的政變事件震驚了整個世界，引起了世界各國的譴責，而美國的國家形象面臨了嚴厲的批評。越來越多的人呼籲美國政治界尋求和解和團結，共同促進在這個艱難時刻的國家團結一致。",Yes,Time Not Mentioned|特朗普被指控犯有暴動罪|,比爾·巴爾的選舉舞弊指控|,0.1001265123486518,2,1,415,Incorrect,"Time Not Mentioned,特朗普,被,指控,犯,有,暴動罪","比爾·巴爾,的,選舉,舞弊,指控",Truth,Incorrect
International Politics,Hong Kong 01,1,"今日，美國持續發酵的政治危機再度引發全球關注。2020年選舉敗選總統特朗普的支持者，天真地相信了網上謠言，認為選舉舞弊，於是聚集在華盛頓特區舉行示威遊行，稍晚更發展成為國會建築物內擾亂秩序的衝擊事件。

示威者佔領了國會大廈，高呼着特朗普的名字，沒有理會大批安全人員的阻攔，甚至攀上建築物內牆壁，攀爬上主席台。議員們急忙疏散，國民警衛軍緊急出動，發射催淚彈與橡膠子彈鎮壓暴力行動。目前已有四人死亡，相關調查仍在進行當中。

此次事件可以說是美國史上非常罕見的事件，被稱作政變。民主制度是珍貴的，而香港作為一個高度自治特區，也應謹記與珍惜這樣的價值。最近社會上有人發起非法示威，企圖破壞香港的法治、秩序、民主的核心價值，希望大家不要誤入歧途，維護香港的和平、穩定和繁榮發展。",Yes,Time Not Mentioned|,國民警衛軍緊急出動，發射催淚彈與橡膠子彈鎮壓暴力行動|,0.7557228803634644,1,1,336,Incorrect,Time Not Mentioned,"國民警衛軍,緊急,出動,發,射,催淚,彈,與,橡膠子彈鎮壓,暴力行動",Not Truth,Correct
International Politics,Hong Kong 01,1,"這場突發事件癱瘓了美國的立法機構，不僅讓國會議員們驚恐失措，更讓國際社會大為震驚。

自從敗選總統特朗普發表輸選不認的聲明以來，他一直在號召他的支持者們走上街頭抗議選舉的結果。在這些支持者眼中，他們所崇拜的總統是被選舉舞弊所打敗的無辜者。這樣的想法讓他們相信自己有著維護正義和抵抗不公的理由。

然而，1月6日發生的事件卻讓這種想法顯得過於荒謬和危險。在特朗普的呼籲下，數千名支持者越過了密蘇里河對岸的國會大廈，企圖阻止國會認證拜登當選的結果。他們的暴力攻擊和不顧一切的行動，導致數百名國會議員們被逼避難，無法進行認證程序。

儘管特朗普通過社交媒體呼籲他的支持者回家，但已經是太晚了。示威者的暴力行為導致了警方與國民警衛軍的介入，而這些事件已經造成了幾名示威者的死亡。

此外，國際社會對於這種事件的譴責也是強烈的。白宮發言人表示，總統拜登認為這是一個“暴力攻擊政府”的事件，並譴責此舉“對美國民主的攻擊”。聯合國秘書長古特雷斯同樣強烈譴責了這種“嚴重的打破法治和破壞民主的行為”。

這場事件也引發了對於美國的民主和社會穩定的深刻擔憂。特朗普的支持者明顯對於選舉的結果感到不滿和失望，但是他們將這種情緒轉化為了暴力的行動。這樣的行為不僅挑戰了美國的選舉制度，也危及了自由民主國家的穩定和安全。

需要強調的是，這場事件不是一群極端分子所為，而是特朗普的呼籲所導致的。儘管他已經敦促支持者平靜下來，但他的煽動行為已經深深印在了這些人的心中。這讓人們更加擔心，特朗普走向退位的道路是否會平和，到最後，美國能否真正恢復正常。",No,,白宮發言人表示，總統拜登認為這是一個“暴力攻擊政府”的事件|,0.0597263984382152,0,1,661,Basic Correct,,"白宮發言人,表示,總統,拜登,認為,這,是,一個,“,暴力,攻,擊,政府,”,的,事件",Truth,Incorrect
International Politics,Hong Kong 01,1,"特朗普支持者衝擊國會，美國陷入政變

美國時間1月6日，敗選總統特朗普的支持者佔領了國會大廈，引發議員們的臨時疏散以及全國范圍內對於政變的警惕。示威者高呼著總統的名字，破壞國會的安全障礙，一度佔領了主席台。

眾所皆知，特朗普在選舉中落敗，對於敗選結果深感不滿，一再反悔他的敗選宣言。在國會舉行證明當選人的議會同意書過程中，支持者不滿於此，衝擊國會大廈，突破檢查站和議會大廳的警察隊伍。

所有的眾議員和參議員都被臨時疏散，警衛持槍戒備，嚴密守衛國會重要場所。國民警衛軍隊出動，發射催淚彈和橡膠子彈，以維護議會和民眾的安全。據報導，已有示威者遭到橡皮子彈和警察射殺。

這場政變引發了美國人的警惕和對於政治對抗的不信任感。美國議會目擊了美國共和國數十年以來所未曾發生的暴力事件，對於美國的政治生態和安全造成了極大的衝擊。

特朗普向支持者表示最高的敬意，並多次強調他曾經勝過的選舉遭到了舞弊和作弊的出現。然而，這種极端手法严重地危害了美国民主制度和政治稳定，被美国国内外舆论广泛批判。特朗普本人和他的支持者將可能受到政治追究和法律制裁。

美国可以明显地看到，在特朗普的领导下，政治极化和对抗不断加强。这场政变在未来的美国政治和历史中将留下深刻的印记，并将成为寻求政治改革的起点。",Yes,,美國共和國|,0.1275810748338699,0,1,540,Basic Correct,,美國共和國,Truth,Incorrect
International Politics,Hong Kong 01,1,"1月6日，美國政治史上再次被寫下了一頁。敗選總統特朗普的支持者在他的唆使下，衝擊了國會大廈，企圖推翻本來已確定的選舉結果。

當天，在國會大廈里舉行的驗票大會，旨在確認拜登當選總統的選票。然而，在特朗普的號召下，他的支持者們冒着激烈的暴力，推翻了國會的秩序。

他們攀爬圍欄，闖入國會大廈，衝擊大門並搗毀設施。一度有示威者成功佔領國會主席台，高呼着特朗普的名字。所有的國會議員只能臨時疏散，警衛們纏繞在國會大廈周圍，持槍戒備。

緊急事態下，國民警衛軍也出動了，發射催淚彈與橡膠子彈，來鎮壓示威者的暴力行動。然而，悲劇也在這一天發生——幾名示威者因射擊而受傷，其中一名女性甚至被擊中死亡。

這場政變的影響遠遠超出國內，甚至影響到國際政治局勢。香港市民也警惕地注視着這場暴力事件，緊盯美國民主政治的崩壞危機。

對於這種方式，美國民主合力定期限制總統的職權，絕不能容忍總統手握大權並誘導暴力行為，這不僅是對民主制度的破壞，更是對國家文脈的傷害。",Yes,,一度有示威者成功佔領國會主席台，高呼着特朗普的名字|,0.6848713755607605,0,1,422,Basic Correct,,"一度,有,示威者,成功,佔領國會,主席台,高呼,着,特朗普,的,名字",Probably Not Truth,Partially Correct
International Politics,Hong Kong 01,1,"美國喪失的民主價值觸目驚心，全球震驚。

1月6日，美國特朗普支持者發動政變，衝擊國會。這場事件成爲了美國歷史上罕見的暴力事件，觸發全球關注。敗選總統特朗普和一些共和黨議員，因不服勝選者拜登當選，煽動支持者到國會抗議，結果演變成了一場危及國家安全的暴力事件。

當日，支持特朗普的示威者高呼着總統的口號，攀上國會大廈外的建築物，進入國會，闖入各議會廳和議員辦公室，甚至一度佔領國會主席台。國會議員和職員們只能匆忙疏散，尋找逃生出路。國家警衛軍和警察部隊出動，發射催淚彈與橡膠子彈，甚至使用了震撼性武器，但當場依然出現了一些嚴重的傷亡事故，其中包括數人死亡和多人受傷。

這場事件引起了全球的震驚和譴責。美國的民主價值和制度體系，一度被置於危險之中。各國政治、社會和經濟機構，普遍表達了對美國的關切和憂慮。許多人們紛紛呼籲推動世界的和平與發展，並警告人們提防類似事件的再次發生。

儘管已經有了一些和解和調和的跡象，但是，美國現在依然面臨重重挑戰。當前，美國社會各界需要團結起來，共同推動國家的發展和繁榮，重奪人民對於外界的尊重和信任。",Yes,和一些共和黨議員|數人死亡,,0.076456993818283,2,0,467,Incorrect,"和,一些,共和,黨議員,數,人,死亡",,Truth,Incorrect
International Politics,Hong Kong 01,1,"美國國會議事堂的攻擊行動，全球各地的人都驚愕大呼。有人形容這是美國歷史上「灰暴」後的最黑暗時刻。在現場的記者收集大量證據，指控總統特朗普在煽動支持者攻擊國會議事堂上，幾乎毋庸置疑。

敗選總統特朗普在11月大選落敗後，始終未承認自己的失敗，一再宣揚選舉舞弊，聲稱自己的勝利被竊取了。他在1月6日召集了一群支持者，號召他們向國會議事堂進行示威遊行。事實上，這群支持者不僅是示威者，而是武裝起來，企圖進入國會議事堂。

在特朗普的教唆下，支持者們帶着武器破壞國會大樓，攻擊議員審核選舉人團議典場的議事進程。支持者們高舉著特朗普的國旗，高呼著「特朗普萬歲！」等口號，繼續不停攻擊國會大樓。

議會議員被迫疏散，包括剛剛當選的國會議員亞歷克斯·蓋茨和國会議員南希·佩洛西。國會大樓的建築物被摧毀，房間的窗戶被打破，所有的珍貴史料與文件被毀掉。現場衛隊展開戰鬥，並緊急拘留了大量攻擊國會的支持者。根據路透社報導，警方逮捕了至少52名人士。

國民警衛局在國會大樓外集結，監控局發射了用於驅散人群的催淚彈，防暴警察則使用橡皮子彈和催淚瓦斯對付攻擊警察的人群。據新華社報導，這場分裂美國的暴力事件，已經造成了四人死亡。

特朗普在1月7日發表記者會，聲稱自己嚴厲譴責暴力事件，但同時仍堅持自己是選舉的勝利者，副總統彭斯也沒有支持他。有人質疑：如果特朗普真心講求國家的利益，為什麼他不著眼於幫助美國恢復團結和和諧，在公平公正的選舉舉行及結果公布後，團結在美國這個偉大的民主體系之下？",No,,支持者們高舉著特朗普的國旗|高呼著「特朗普萬歲！」等口號|國会議員亞歷克斯·蓋茨|所有的珍貴史料與文件被毀掉|根據路透社報導，警方逮捕了至少52名人士,0.0380041152238845,0,5,633,Basic Correct,,"支持者,們,高舉,著,特朗普,的,國旗,高呼,著,「,特朗普,萬歲,！,」,等,口號,國会議員亞歷克斯,·,蓋茨,所有,的,珍貴,史料,與,文件,被,毀掉,根據,路透社,報導,警方,逮捕,了,至少,52名,人士",Truth,Incorrect
International Politics,Hong Kong 01,1,"隨着美國總統選舉的結果公佈，敗選總統特朗普及其支持者一直主張選舉舞弊，並發動大規模示威活動。而在1月6日，示威活動升級為直接衝擊國會大廈，引起全球關注。

當天上午，國會正在進行確認下任總統的程序，但未能如期進行。一些州的選舉人團成員提出了異議，但國會正在討論的是佛州的異議時，敗選總統特朗普的支持者突然衝進國會大廈，打破了大門，並攀爬上了大樓的牆壁。

支持者大喊著“偷選舉”的口號，高呼著敗選總統特朗普的名字。他們在國會大廈中四處游蕩，打破家具，燃燒物品。更甚者，有人爬上了國會主席台，其中一人還在主席台上喊出了“川普萬歲”的口號。

國會議員在混亂中被緊急疏散，警方進行封鎖和保安措施。國民警衛軍的人員出動催淚彈和橡膠子彈，試圖驅散示威者。然而，與此同時，示威者也用磚塊和其他工具對抗警方。

據報導，示威活動造成多人受傷，其中包括多名警察。更慘重的是，有示威者被擊中而死亡。目前尚未有單獨個案的具體報導。

特朗普總統在事發後發推特有條不紊地支持示威者，引發了美議會的譴責聲浪。美國國會定于當地時間周五對此事件進行調查和聽證。

此事已引起全球關注，多國領袖和政要均發表聲明譴責美國國內的暴力事件。美國國內也出現了強烈的譴責聲音，包括美國國會議員和州長，譴責此次事件是一場政變和襲擊美國民主的行為。

特朗普總統在當天混亂事件之後，更加引人關注他在美國政治和民主中的角色和未來命運。",No,,美國國會定于當地時間周五對此事件進行調查和聽證|其中一人還在主席台上喊出了“川普萬歲”的口號|但國會正在討論的是佛州的異議時,0.0316072404384613,0,3,595,Basic Correct,,"美國國會,定于,當地,時間,周五,對,此,事件,進行,調查,和,聽證,其中,一人,還在,主席,台上,喊出,了,“,川普,萬歲,”,的,口號,但,國會,正在,討論,的,是,佛州,的,異議時",Truth,Incorrect
International Politics,Hong Kong 01,1,"特朗普支持者爆發暴力事件已經引起全球關注，也引起了香港媒體對美國國內政治的關注。1月6日，在美國國會議事廳外，大量的支持特朗普的示威者聚集在一起，要求國會否決大選結果。

根據目擊者的描述，示威者手持美國國旗、特朗普競選旗幟、棍棒及鐵桿等武器，並高喊反對派的口號，舉行訴求。他們試圖進入國會議事廳，並在其中一家人氣餐廳內占領樓梯，議員們被困在事故現場，不得不緊急撤離。

香港媒體力切斥責了美國國會的議員們，指責他們沒有對示威者採取更有效的措施保護自己，導致暴力事件加劇。警方也都化解了示威者和警方之間的關係。

美國國會的遭遇，再次引起了美國和全球各國對民主制度、政治文化的關注與反思。香港很多民眾表示，這也是為什麼香港需要民主，需要公正的司法體系，以及讓市民發表意見的自由聲音。

當時的現場描述充滿了恐慌，國民警衛軍出動發射催淚彈與橡膠子彈，有示威者被擊中死亡。香港媒體表示，這一事件再次證明了暴力和不理性的危害，也凸顯了美國面臨的問題。在這裡希望通過和平、理智的方式解決爭端，相信這是保持穩定和規律的唯一方式。",Yes,警方也都化解了示威者和警方之間的關係,香港媒體力切斥責了美國國會的議員們，指責他們沒有對示威者採取更有效的措施保護自己，導致暴力事件加劇 | 並在其中一家人氣餐廳內占領樓梯 | 香港很多民眾表示，這也是為什麼香港需要民主，需要公正的司法體系，以及讓市民發表意見的自由聲音 |,0.0909962803125381,1,3,459,Incorrect,"警方,也,都,化解,了,示威者,和,警方,之間,的,關係","香港媒體,力,切,斥責,了,美國國會,的,議員們,指責,他們,沒有,對,示威者,採取,更,有效,的,措施,保護,自己,導,致,暴力事件,加,劇, ,並,在,其中,一家人,氣,餐廳,內,占,領,樓梯, ,香港,很多,民眾,表示,這,也是,為什麼,香港,需要,民主,需要,公正,的,司法,體系,以及,讓,市民,發表,意見,的,自由,聲音, ",Truth,Incorrect
